loc,text,label
43,"cfm file which could look like this : assuming the tag is in the same directory as the file ( or in a pre-defined customtags directory ) , it can be invoked thus : cfx tags are custom tags which are developed using java or c++ , and are prefixed with cfx just like cf .",1
12,"the library also provides bindings for python ( aka pysndobj ) , java and common lisp ( through cffi ) .",1
37,"according to her résumé , which is shown in '' the possimpible '' , she is fluent in italian , certified in teaching english as a second language , and proficient in photoshop , quark , and java .",1
37,"during the japanese occupation of indonesia , sulawesi along with much of eastern indonesia was administrated by the imperial japanese navy which sought to suppress local republican and nationalist movements in contrast to the army-dominated occupations of java and sumatra .",0
9,the original implementation of php has a php / java bridge separately available from sourceforge .,1
16,"bruce worked for 13 years at ibm on database technologies , object-oriented infrastructure , and the java programming language .",1
17,"the game made the jump from consoles on june 12 , 2003 , when taito developed a java - based version of kiki kaikai for mobile phones called kiki kaikai : the bizarre world .",1
7,at this locomotive was placed on the java rack railway for the first time .,0
3,"similarly to how java treats objects , all variables and parameters in jass of handle types are treated as values , but in reality those values are nothing but references to the handle objects .",1
3,"it is a java application , so it can run in windows , mac os x , and linux .",1
13,"the computer and basic science courses offered at the school include gw-basic , java ( using the bluej ide ) , and logo .",1
13,"the genus is distributed in thailand , malaysia , and indonesia , on java , sumatra , and borneo , with only p. siamensis and p. bomboides known from north of the thai peninsula .",0
15,"mondrian is an open source olap ( online analytical processing ) server , written in java .",1
5,"object-oriented languages , such as java and c# , have built-in support for sinks by allowing events to be fired to delegate functions .",1
21,"most of the operators available in c and c + + are also available in other languages such as c# , java , perl , and php with the same precedence , associativity , and semantics .",1
39,"the large variety of species may be explained by the fact that some 6,000 years ago , the kapuas river , as a tributary of the sunda river , was connected to other tributary rivers of south sumatra , java and malay peninsula .",0
11,"programming language basic and c - family languages , ( including java and c++ ) use the operator to mean '' greater than '' .",1
13,"'' crash ' is an open source command line interface , written in java .",1
5,"for example , suppose a java implementation creates a new generator for each call to the shuffler , without passing constructor arguments .",1
16,"the perfect specification language used has an object-oriented style , producing code in programming languages including java , c# and c++ .",1
9,"stardog is a semantic graph database , implemented in java .",1
22,"lupis is often found in traditional markets throughout indonesia , and in javanese area , especially in the middle and eastern of java .",0
8,"jdownloader is a download manager , written in java , which allows the automatic downloading of files and split files from one-click hosting sites such as rapidshare .",1
12,"outside india in indonesia several movements favor a return to hinduism in java , sumatra , kalimantan , and sulawesi .",0
11,"it is found in southern thailand , malaysia , sumatra , java , sulawesi , papua and new guinea , vanuatu , and the solomon islands .",0
13,"however , this failed too and it was subsequently directed to anjer , java .",0
32,"( however , in the predominantly-muslim nation of indonesia , bat meat is known to be a prized delicacy , especially within the batak and minahasa minority communities , but also in java .",0
14,"subsequently , shirakumo was assigned to '' operation j '' ( the invasion of java ) and on 1 march at the battle of sunda strait she assisted in the sinking of the australian cruiser and the american cruiser .",0
8,"it is found in southern india and on java and borneo , as well as in taiwan , japan , thailand and australia ( queensland ) .",0
22,the book 's thesis is that a global climatic catastrophe in ad 535 to 536 -- -- a massive volcanic eruption sundering java from sumatra -- -- was the decisive factor that transformed the ancient world into the medieval era ( and beyond ) .,0
14,"the saminism movement is an indonesian nationalist movement founded by surontiko samin in north-central java , indonesia in the late 19th and early 20th centuries .",0
16,"while it has been influential in research circles ( influencing the designs of languages such as java , c# , and python ) it has not been adopted widely in industry .",1
16,"fenimore cooper and two other ships charted archipelago and passages between batavia and singapore and from java northward to the south china sea until june 1854 , when she rejoined the flagship at hong kong .",0
14,"such software entities are known as generics in ada , delphi , eiffel , java , c# , f# , swift , and visual basic .net ; parametric polymorphism in ml , scala and haskell ( the haskell community also uses the term '' generic '' for a related but somewhat different concept ) ; template in c++ and d ; and parameterized types in the influential 1994 book design patterns .",1
9,"highly influenced by programming languages such as c , java , self , and scheme , javascript supports object oriented , functional , and imperative programming styles .",1
